Destination ID,Country,City,Attraction,Type,Average Rating (1-10),Best Time to Visit,Average Temperature (°C),Annual Visitors (Millions),Entry Fee ($),Nearby Landmark,Transportation,
31,Malaysia,Kuala Lumpur,Petronas Towers,Architectural Wonder,8.7,Spring,28,6.1,20,,Train,
32,Singapore,Singapore City,Marina Bay Sands,Iconic Landmark,9.1,Winter,27,12.5,35,Gardens by the Bay,Metro,
33,South Korea,Seoul,Palace of Gyeongbokgung,Historical Site,8.8,Spring,14,2.6,10,N Seoul Tower,Subway,
34,Japan,Kyoto,Fushimi Inari Shrine,Historical Site,9.2,Autumn,12,4.8,0,Kyoto Imperial Palace,Bus,
35,Hong Kong,Hong Kong City,Victoria Peak,Iconic Landmark,8.9,Winter,22,7,0,Hong Kong Disneyland,Tram,
36,Philippines,Manila,Intramuros,Historical Site,8.7,Winter,30,3.8,10,,Taxi,
37,New Zealand,Auckland,Sky Tower,Architectural Wonder,8.6,Summer,18,2,,Devonport,Tram,
38,Australia,Melbourne,Great Ocean Road,Natural Landmark,9,Summer,20,1.6,,12 Apostles,Car,
39,Italy,Florence,Duomo di Firenze,Historical Site,9.4,Spring,18,4,20,Ponte Vecchio,Bus,
40,France,Nice,Promenade des Anglais,Urban Landmark,8.8,Summer,22,3.2,0,Old Town,Bus,
41,USA,Los Angeles,Hollywood Sign,Iconic Landmark,8.9,Spring,20,6.5,,Hollywood Walk of Fame,Bus,
42,Japan,Osaka,Osaka Castle,Historical Site,8.7,Spring,15,3,15,,Subway,
43,China,Shanghai,The Bund,Urban Landmark,9.1,Spring,16,8.5,0,Oriental Pearl Tower,Metro,
44,India,Jaipur,Amber Fort,Historical Site,8.8,Winter,21,2.1,10,City Palace,Car,
45,South Africa,Johannesburg,Apartheid Museum,Museum,8.9,Winter,19,1.9,10,Soweto,Car,
46,Egypt,Aswan,Philae Temple,Historical Site,8.6,Winter,24,1.2,10,,Boat,
47,Brazil,Salvador,Pelourinho,Historical Site,8.7,Summer,26,1.4,,Elevador Lacerda,Bus,
48,Argentina,Buenos Aires,La Boca,Historical Site,8.9,Spring,20,2.3,0,Casa Rosada,Bus,
49,Chile,Valparaíso,Valparaíso Port,Historical Site,8.8,Summer,20,1,,Cerro Alegre,Bus,
50,Peru,Cusco,Plaza de Armas,Historical Site,9.1,Winter,16,2.8,10,Qorikancha,Bus,
51,Colombia,Medellín,Comuna 13,Urban Landmark,8.6,Spring,24,1.5,,Parque Arvi,Metro,
52,Panama,Bocas del Toro,Island,Beach Destination,8.7,Summer,29,0.9,10,Starfish Beach,Boat,
53,Malaysia,Penang,Penang Hill,Natural Landmark,8.5,Summer,30,1.3,,Penang National Park,Train,
54,Singapore,Sentosa,Sentosa Island,Beach Destination,9,Winter,27,12,50,Gardens by the Bay,Bus,
55,South Korea,Busan,Haeundae Beach,Beach Destination,8.8,Summer,26,3,,Gwangalli Beach,Subway,
56,Japan,Nara,Nara Deer Park,Natural Landmark,8.6,Spring,15,1.5,5,Kofuku-ji Temple,Bus,
57,Italy,Milan,Duomo di Milano,Historical Site,9.1,Summer,23,4.5,,Galleria Vittorio Emanuele II,Metro,
58,France,Lyon,Vieux Lyon,Historical Site,8.8,Spring,18,2.2,0,Fourvière Basilica,Bus,
59,USA,Las Vegas,The Strip,Urban Landmark,8.9,Winter,20,42,0,Fremont Street,Taxi,
60,Japan,Hiroshima,Peace Memorial Park,Historical Site,9,Spring,16,1.8,0,Hiroshima Castle,Tram,
